OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
1,0,6.0,4,0,0,0,1,0,0,1169.0,4,4,4,0,1,0,0,0,4,1,0,67.0,0,0,1,2,2,1,1,0,1
2,1,48.0,2,0,0,0,1,0,0,5951.0,0,2,2,0,0,0,0,0,2,1,0,22.0,0,0,1,1,2,1,0,0,0
3,3,12.0,4,0,0,0,0,1,0,-2096.0,0,3,2,0,1,0,0,0,3,1,0,49.0,0,0,1,1,1,2,0,0,1
4,0,,2,0,0,1,0,0,0,7882.0,0,3,2,0,1,0,0,1,4,0,0,45.0,0,0,0,1,2,2,0,0,1
5,0,24.0,3,1,0,0,0,0,0,4870.0,0,2,3,0,1,0,0,0,4,0,1,53.0,0,0,0,2,2,2,0,0,0
6,3,36.0,2,0,0,0,0,1,0,9055.0,4,2,2,0,1,0,0,0,4,0,1,35.0,0,0,0,1,1,2,1,0,1
7,3,24.0,2,0,0,1,0,0,0,2835.0,2,4,3,0,1,0,0,0,4,0,0,53.0,0,0,1,1,2,1,0,0,1
8,1,36.0,2,0,1,0,0,0,0,6948.0,0,2,2,0,1,0,0,0,2,0,0,35.0,0,1,0,1,3,1,1,0,1
9,3,12.0,2,0,0,0,1,0,0,3059.0,3,3,2,1,0,0,0,0,4,1,0,61.0,0,0,1,1,1,1,0,0,1
10,1,30.0,4,1,0,0,0,0,0,5234.0,0,0,4,0,0,1,0,0,2,0,0,28.0,0,0,1,2,3,1,0,0,0
11,1,12.0,2,1,0,0,0,0,0,1295.0,0,1,3,0,0,0,0,0,1,0,0,25.0,0,1,0,1,2,1,0,0,0
12,0,48.0,2,0,0,0,0,0,1,4308.0,0,1,3,0,0,0,0,0,4,0,0,24.0,0,1,0,1,2,1,0,0,0
13,1,,2,0,0,0,1,0,0,1567.0,0,2,1,0,0,0,0,0,1,0,0,22.0,0,0,1,1,2,1,1,0,1
14,0,24.0,4,1,0,0,0,0,0,1199.0,0,4,4,0,1,0,0,0,4,0,0,60.0,0,0,1,2,1,1,0,0,0
15,0,15.0,2,1,0,0,0,0,0,,0,2,2,0,0,0,0,0,4,0,0,,0,1,0,1,2,1,0,0,1
16,0,24.0,2,0,0,0,1,0,0,1282.0,1,2,4,0,0,0,0,0,2,0,0,32.0,0,0,1,1,1,1,0,0,0
17,3,24.0,4,0,0,0,1,0,0,2424.0,4,4,4,0,1,0,0,0,4,0,0,53.0,0,0,1,2,2,1,0,0,1
18,0,30.0,0,0,0,0,0,0,1,8072.0,4,1,2,0,1,0,0,0,3,0,0,25.0,1,0,1,3,2,1,0,0,1
19,1,24.0,2,0,1,0,0,0,0,12579.0,0,4,4,0,0,0,0,0,2,0,1,44.0,0,0,0,1,3,1,1,0,0
20,3,24.0,2,0,0,0,1,0,0,3430.0,2,4,3,0,1,0,0,0,2,0,0,31.0,0,0,1,1,2,2,1,0,1
21,3,9.0,4,1,0,0,0,0,0,2134.0,0,2,4,0,1,0,0,0,4,0,0,48.0,0,0,1,3,2,1,1,0,1
22,0,6.0,2,0,0,0,1,0,0,2647.0,2,2,2,0,1,0,0,0,3,1,0,44.0,0,1,0,1,2,2,0,0,1
23,0,10.0,4,1,0,0,0,0,0,2241.0,0,1,1,0,1,0,0,0,3,1,0,48.0,0,1,0,2,1,2,0,1,1
24,1,12.0,4,0,1,0,0,0,0,1804.0,1,1,3,0,1,0,0,0,4,0,0,,0,0,1,1,2,1,0,0,1
25,3,10.0,4,0,0,1,0,0,0,2069.0,4,2,2,0,0,1,0,0,1,0,0,26.0,0,0,1,2,2,1,0,1,1
26,0,6.0,2,0,0,1,0,0,0,1374.0,0,2,1,0,1,0,0,0,2,1,0,36.0,1,0,1,1,1,1,1,0,1
27,3,6.0,0,0,0,0,1,0,0,426.0,0,4,4,0,0,1,0,0,4,0,0,39.0,0,0,1,1,1,1,0,0,1
28,2,12.0,1,0,0,0,1,0,0,409.0,3,2,3,0,0,0,0,0,3,1,0,42.0,0,1,0,2,2,1,0,0,1
29,1,7.0,2,0,0,0,1,0,0,2415.0,0,2,3,0,1,0,0,1,2,1,0,34.0,0,0,1,1,2,1,0,0,1
30,0,60.0,3,0,0,0,0,0,1,6836.0,0,4,3,0,1,0,0,0,4,0,1,63.0,0,0,1,2,2,1,1,0,0
31,1,18.0,2,0,0,0,0,0,1,1913.0,3,1,3,0,0,1,0,0,3,1,0,,1,0,1,1,2,1,1,0,1
32,0,24.0,2,0,0,1,0,0,0,4020.0,0,2,2,0,1,0,0,0,2,0,0,27.0,1,0,1,1,2,1,0,0,1
33,1,18.0,2,1,0,0,0,0,0,5866.0,1,2,2,0,1,0,0,0,2,0,0,30.0,0,0,1,2,2,1,1,0,1
34,3,12.0,4,0,0,0,0,0,1,1264.0,4,4,4,0,1,0,0,0,4,0,1,57.0,0,1,0,1,1,1,0,0,1
35,2,12.0,2,0,0,1,0,0,0,1474.0,0,1,4,0,0,0,0,0,1,0,0,33.0,1,0,1,1,3,1,1,0,1
36,1,45.0,4,0,0,0,1,0,0,4746.0,0,1,4,0,1,0,0,0,2,0,0,25.0,0,0,1,2,1,1,0,0,0
37,3,48.0,4,0,0,0,0,1,0,6110.0,0,2,1,0,1,0,0,0,3,0,1,31.0,1,0,0,1,2,1,1,0,1
38,2,18.0,2,0,0,0,1,0,0,2100.0,0,2,4,0,1,0,1,0,2,1,0,37.0,1,0,1,1,2,1,0,0,0
39,2,10.0,2,0,0,0,0,0,0,1225.0,0,2,2,0,1,0,0,0,2,0,0,37.0,0,0,1,1,2,1,1,0,1
40,1,9.0,2,0,0,0,1,0,0,458.0,0,2,4,0,1,0,0,0,3,1,0,24.0,0,0,1,1,2,1,0,0,1
41,3,30.0,2,0,0,0,1,0,0,2333.0,2,4,4,0,1,0,0,0,2,0,0,30.0,1,0,1,1,3,1,0,0,1
42,1,12.0,2,0,0,0,1,0,0,1158.0,2,2,3,1,0,0,0,0,1,0,0,26.0,0,0,1,1,2,1,1,0,1
43,1,18.0,3,0,0,0,0,0,0,6204.0,0,2,2,0,1,0,0,0,4,1,0,44.0,0,0,1,1,1,2,1,0,1
44,0,30.0,4,0,1,0,0,0,0,6187.0,1,3,1,0,0,1,0,0,4,0,0,24.0,0,1,0,2,2,1,0,0,1
45,0,48.0,4,0,1,0,0,0,0,6143.0,0,4,4,0,0,0,0,0,4,0,1,58.0,1,0,0,2,1,1,0,0,0
46,3,11.0,4,1,0,0,0,0,0,1393.0,0,1,4,0,0,0,0,0,4,0,0,35.0,0,0,1,2,3,1,0,0,1
47,3,36.0,2,0,0,0,1,0,0,2299.0,2,4,4,0,1,0,0,0,4,0,0,39.0,0,0,1,1,2,1,0,0,1
48,0,6.0,2,0,1,0,0,0,0,1352.0,2,0,1,0,0,0,0,0,2,0,0,23.0,0,1,0,1,0,1,1,0,1
49,3,11.0,4,1,0,0,0,0,0,7228.0,0,2,1,0,1,0,0,0,4,0,0,39.0,0,0,1,2,1,1,0,0,1
50,3,12.0,2,0,0,0,1,0,0,2073.0,1,2,4,0,0,0,1,0,2,1,0,28.0,0,0,1,1,2,1,0,0,1
51,1,24.0,3,0,0,1,0,0,0,2333.0,4,1,4,0,1,0,0,0,2,0,0,29.0,1,0,1,1,1,1,0,0,1
52,1,27.0,3,0,1,0,0,0,0,5965.0,0,4,1,0,1,0,0,0,2,0,0,30.0,0,0,1,2,3,1,1,0,1
53,3,12.0,2,0,0,0,1,0,0,1262.0,0,2,3,0,1,0,0,0,2,0,0,25.0,0,0,1,1,2,1,0,0,1
54,3,18.0,2,0,1,0,0,0,0,,4,2,2,0,1,0,0,0,1,0,0,31.0,0,0,1,1,2,1,1,0,1
55,1,36.0,3,1,0,0,0,0,0,2225.0,0,4,4,0,1,0,0,0,4,0,1,57.0,1,0,0,2,2,1,1,0,0
56,3,6.0,1,1,0,0,0,0,0,783.0,4,2,1,0,1,0,0,1,2,1,0,26.0,1,0,1,1,1,2,0,0,1
57,1,12.0,2,0,0,0,1,0,0,6468.0,4,0,2,0,1,0,0,0,1,0,1,52.0,0,0,1,1,3,1,1,0,0
58,3,36.0,4,0,0,0,1,0,0,9566.0,0,2,2,0,0,0,0,0,2,0,0,31.0,1,0,1,2,2,1,0,0,1
59,2,18.0,2,1,0,0,0,0,0,1961.0,0,4,3,0,0,0,0,0,2,0,0,23.0,0,0,1,1,3,1,0,0,1
60,0,36.0,4,0,0,1,0,0,0,6229.0,0,1,4,0,0,0,1,0,4,0,1,23.0,0,1,0,2,1,1,1,0,0
61,1,9.0,2,0,0,0,0,0,1,1391.0,0,2,2,0,0,1,0,0,1,1,0,27.0,1,0,1,1,2,1,1,0,1
62,1,15.0,4,0,0,0,1,0,0,1537.0,4,4,4,0,1,0,0,1,4,1,0,50.0,0,0,1,2,2,1,1,0,1
63,1,36.0,0,0,0,0,0,0,1,1953.0,0,4,4,0,1,0,0,0,4,0,1,61.0,0,0,0,1,3,1,1,0,0
64,1,48.0,0,0,0,0,0,0,1,14421.0,0,2,2,0,1,0,0,0,2,0,0,25.0,0,0,1,1,2,1,1,0,0
65,3,24.0,2,0,0,0,1,0,0,3181.0,0,1,4,0,0,0,0,0,4,0,0,26.0,0,0,1,1,2,1,1,0,1
66,3,27.0,2,0,0,0,0,0,0,5190.0,4,4,4,0,1,0,0,0,4,0,0,48.0,0,0,1,4,2,2,1,0,1
67,3,12.0,2,0,0,0,1,0,0,2171.0,0,1,2,0,0,0,0,0,2,0,0,29.0,1,0,1,1,2,1,0,0,1
68,1,12.0,2,1,0,0,0,0,0,1007.0,3,2,4,0,0,1,0,0,1,1,0,22.0,0,0,1,1,2,1,0,0,1
69,3,36.0,2,0,0,0,0,1,0,1819.0,0,2,4,0,1,0,0,0,4,0,1,37.0,1,0,0,1,2,1,1,0,0
70,3,36.0,2,0,0,0,1,0,0,2394.0,4,2,4,0,0,0,0,0,4,0,0,25.0,0,0,1,1,2,1,0,0,1
71,3,36.0,2,0,1,0,0,0,0,8133.0,0,2,1,0,0,0,0,0,2,0,0,30.0,1,0,1,1,2,1,0,0,1
72,3,,4,0,0,0,1,0,0,730.0,4,4,4,0,1,0,0,0,2,0,0,46.0,0,1,0,2,1,1,1,0,1
73,0,8.0,4,0,0,0,0,0,0,1164.0,0,4,3,0,1,0,0,0,4,0,1,51.0,1,0,0,2,3,2,1,0,1
74,1,42.0,4,0,0,0,0,0,1,5954.0,0,3,2,0,0,0,0,0,1,1,0,41.0,1,0,1,2,1,1,0,0,1
75,0,36.0,2,0,0,0,0,1,0,1977.0,4,4,4,0,1,0,0,0,4,0,1,40.0,0,0,1,1,3,1,1,0,0
76,0,,4,0,1,0,0,0,0,1526.0,0,4,4,0,1,0,0,0,4,0,1,66.0,0,0,0,2,3,1,0,0,1
77,0,42.0,2,0,0,0,1,0,0,3965.0,0,1,4,0,1,0,0,0,3,0,0,34.0,0,0,1,1,2,1,0,0,0
78,1,11.0,3,0,0,0,1,0,0,4771.0,0,3,2,0,1,0,0,0,4,0,0,51.0,0,0,1,1,2,1,0,0,1
79,3,54.0,0,0,1,0,0,0,0,9436.0,4,2,2,0,1,0,0,0,2,0,0,39.0,0,0,1,1,1,2,0,0,1
80,1,30.0,2,0,0,1,0,0,0,3832.0,0,1,2,0,0,1,0,0,1,0,0,22.0,0,0,1,1,2,1,0,0,1
81,3,24.0,2,0,0,0,1,0,0,5943.0,4,1,1,0,0,0,0,0,1,0,0,44.0,0,0,1,2,2,1,1,0,0
82,3,15.0,2,0,0,0,1,0,0,1213.0,2,4,4,0,1,0,0,0,3,0,0,47.0,1,0,1,1,2,1,1,0,1
83,3,18.0,2,0,0,0,0,0,1,1568.0,1,2,3,0,0,0,0,0,4,0,0,24.0,0,1,0,1,1,1,0,0,1
84,0,24.0,2,0,0,0,0,0,0,1755.0,0,4,4,0,0,0,0,1,4,1,0,58.0,0,0,1,1,1,1,1,0,1
85,0,200.0,2,0,0,0,1,0,0,2315.0,0,4,3,0,1,0,0,0,4,1,0,52.0,0,0,1,1,1,1,0,0,1
86,3,12.0,4,0,0,0,0,0,1,1412.0,0,2,4,0,0,0,0,1,2,1,0,29.0,0,0,1,2,3,1,1,0,1
87,1,18.0,4,0,0,1,0,0,0,1295.0,0,1,4,0,0,0,0,0,1,0,0,27.0,0,0,1,2,2,1,0,0,1
88,1,36.0,2,0,0,0,0,1,0,12612.0,1,2,1,0,1,0,0,0,4,0,1,47.0,0,0,0,1,2,2,1,0,0
89,0,18.0,2,1,0,0,0,0,0,2249.0,1,3,4,0,1,0,0,0,3,0,0,30.0,0,0,1,1,3,2,1,0,1
90,0,12.0,0,0,0,0,0,0,0,1108.0,0,3,4,0,1,0,0,0,3,1,0,28.0,0,0,1,2,2,1,0,0,0
91,3,12.0,4,0,0,0,1,0,0,618.0,0,4,4,0,1,0,0,0,4,1,0,56.0,0,0,1,1,2,1,0,0,1
92,0,12.0,4,0,1,0,0,0,0,1409.0,0,4,4,0,1,0,0,0,3,1,0,54.0,0,0,1,1,2,1,0,0,1
93,3,12.0,4,0,0,0,1,0,0,797.0,4,4,4,0,0,0,0,0,3,0,0,33.0,1,0,1,1,1,2,0,0,0
94,2,24.0,4,0,0,1,0,0,0,3617.0,4,4,4,0,1,0,1,0,4,0,1,20.0,0,1,0,2,2,1,0,0,1
95,1,12.0,2,1,0,0,0,0,0,1318.0,3,4,4,0,1,0,0,0,4,1,0,54.0,0,0,1,1,2,1,1,0,1
96,1,54.0,0,0,0,0,0,0,1,15945.0,0,1,3,0,1,0,0,0,4,0,1,58.0,0,1,0,1,2,1,1,0,0
97,3,12.0,4,0,0,0,0,1,0,2012.0,4,3,4,0,0,0,0,0,2,0,0,61.0,0,0,1,1,2,1,0,0,1
98,1,,2,0,0,0,0,0,1,2622.0,1,2,4,0,1,0,0,0,4,0,0,34.0,0,0,1,1,2,1,0,0,1
99,1,36.0,4,0,0,0,1,0,0,2337.0,0,4,4,0,1,0,0,0,4,1,0,36.0,0,0,1,1,2,1,0,0,1
100,1,20.0,3,0,1,0,0,0,0,7057.0,4,3,3,0,1,0,0,0,4,0,0,36.0,1,1,0,2,3,2,1,0,1
101,3,24.0,2,1,0,0,0,0,0,1469.0,1,4,4,0,0,1,0,0,4,1,0,41.0,0,1,0,1,1,1,0,0,1
102,1,36.0,2,0,0,0,1,0,0,2323.0,0,3,4,0,1,0,0,0,4,0,0,24.0,0,1,0,1,2,1,0,0,1
103,3,6.0,3,0,0,0,1,0,0,932.0,0,2,3,0,0,0,0,0,2,1,0,24.0,0,0,1,1,2,1,0,0,1
104,1,9.0,4,0,0,1,0,0,0,1919.0,0,3,4,0,1,0,0,0,3,0,0,35.0,0,1,0,1,2,1,1,0,1
105,3,12.0,2,0,1,0,0,0,0,2445.0,4,1,2,0,0,1,0,0,4,0,0,26.0,0,1,0,1,2,1,1,0,1
106,1,24.0,4,0,0,0,0,0,0,11938.0,0,2,2,0,1,0,1,0,3,0,0,39.0,0,0,1,2,3,2,1,0,0
107,3,18.0,1,1,0,0,0,0,0,6458.0,0,4,2,0,1,0,0,0,4,0,1,39.0,1,0,1,2,3,2,1,0,0
108,1,12.0,2,1,0,0,0,0,0,6078.0,0,3,2,0,1,0,0,0,2,0,0,-32.0,0,0,1,1,2,1,0,0,1
109,0,24.0,2,0,0,1,0,0,0,7721.0,4,1,1,0,0,0,0,0,2,0,0,30.0,0,0,1,1,2,1,1,1,1
110,1,14.0,2,0,0,0,0,0,1,1410.0,2,4,1,0,0,1,0,0,2,1,0,35.0,0,0,1,1,2,1,1,0,1
111,1,6.0,3,0,0,0,0,0,1,1449.0,1,4,1,1,0,0,0,0,2,0,0,31.0,1,0,1,2,2,2,0,0,1
112,2,15.0,2,0,0,0,0,1,0,392.0,0,1,4,0,0,0,0,0,4,0,0,23.0,0,1,0,1,2,1,1,0,1
113,1,18.0,2,1,0,0,0,0,0,6260.0,0,3,3,0,1,0,0,0,3,1,0,28.0,0,1,0,1,1,1,0,0,1
114,3,36.0,4,1,0,0,0,0,0,7855.0,0,2,4,0,0,0,0,0,2,1,0,25.0,1,0,1,2,2,1,1,0,0
115,0,12.0,2,0,0,0,1,0,0,1680.0,2,4,3,0,0,1,0,0,1,1,0,35.0,0,0,1,1,2,1,0,0,1
116,3,48.0,4,0,0,0,1,0,0,3578.0,4,4,4,0,1,0,0,0,1,1,0,47.0,0,0,1,1,2,1,1,0,1
117,0,42.0,2,0,0,0,1,0,0,7174.0,4,3,4,0,0,0,0,0,3,0,0,30.0,0,0,1,1,3,1,1,0,0
118,0,10.0,4,0,0,1,0,0,0,2132.0,4,1,2,0,0,0,1,0,3,1,0,27.0,0,1,0,2,2,1,0,1,1
119,0,33.0,4,0,0,1,0,0,0,4281.0,2,2,1,0,0,0,0,0,4,0,0,23.0,0,0,1,2,2,1,0,0,0
120,1,12.0,4,1,0,0,0,0,0,2366.0,2,3,3,1,0,0,0,0,3,0,0,36.0,0,0,1,1,3,1,1,0,1
121,0,21.0,2,0,0,0,1,0,0,1835.0,0,2,3,0,0,0,0,0,2,1,0,25.0,0,0,1,2,2,1,1,0,0
122,3,24.0,4,0,1,0,0,0,0,3868.0,0,4,4,0,0,0,0,0,2,0,0,41.0,0,1,0,2,3,1,1,0,1
123,3,12.0,2,0,0,1,0,0,0,1768.0,0,2,3,0,1,0,0,0,2,1,0,24.0,0,1,0,1,1,1,0,0,1
124,2,10.0,4,1,0,0,0,0,0,781.0,0,4,4,0,1,0,0,0,4,0,1,63.0,0,0,0,2,2,1,1,0,1
125,1,18.0,2,0,0,1,0,0,0,1924.0,4,1,4,0,0,0,0,0,3,1,0,27.0,0,1,0,1,2,1,0,0,0
126,0,12.0,4,1,0,0,0,0,0,2121.0,0,2,4,0,1,0,0,0,2,0,0,30.0,0,0,1,2,2,1,0,0,1
127,0,12.0,2,0,0,0,1,0,0,701.0,0,2,4,0,0,1,0,0,2,1,0,40.0,0,0,1,1,1,1,0,0,1
128,1,12.0,2,0,0,0,0,0,0,639.0,0,2,4,0,1,0,0,0,2,0,0,30.0,0,0,1,1,2,1,0,0,0
129,1,12.0,4,0,1,0,0,0,0,1860.0,0,0,4,0,1,0,0,0,2,0,0,34.0,0,0,1,2,3,1,1,0,1
130,0,12.0,4,1,0,0,0,0,0,3499.0,0,2,3,0,0,0,1,0,2,1,0,29.0,0,0,1,2,2,1,0,0,0
131,1,48.0,2,1,0,0,0,0,0,8487.0,4,3,1,0,0,0,0,0,2,0,0,24.0,0,0,1,1,2,1,0,0,1
132,0,36.0,3,0,0,0,0,1,0,6887.0,0,2,4,0,1,0,0,0,3,0,0,29.0,1,0,1,1,2,1,1,0,0
133,3,15.0,2,0,0,1,0,0,0,2708.0,0,1,2,0,1,0,0,0,3,0,0,27.0,1,0,1,2,1,1,0,0,1
134,3,18.0,2,0,0,1,0,0,0,1984.0,0,2,4,0,1,0,0,0,4,0,1,47.0,1,0,0,2,2,1,0,0,1
135,3,60.0,2,0,0,0,1,0,0,10144.0,1,3,2,0,0,0,0,0,4,1,0,21.0,0,0,1,1,2,1,1,0,1
136,3,12.0,4,0,0,0,1,0,0,1240.0,4,4,4,0,0,0,0,0,2,1,0,,0,0,1,2,2,1,1,0,1
137,3,27.0,3,0,1,0,0,0,0,8613.0,3,2,2,0,1,0,0,0,2,0,0,,0,0,1,2,2,1,0,0,1
138,1,12.0,2,0,2,0,1,0,0,766.0,2,2,4,0,1,0,0,0,3,1,0,66.0,0,0,1,1,1,1,0,0,0
139,1,15.0,4,0,0,0,1,0,0,2728.0,4,3,4,0,1,0,0,1,2,1,0,35.0,1,0,1,3,2,1,1,0,1
140,2,12.0,2,0,0,0,1,0,0,1881.0,0,2,2,0,0,0,0,0,2,0,0,44.0,0,1,0,1,1,1,1,0,1
141,2,6.0,2,1,0,0,0,0,0,709.0,3,1,2,0,0,1,0,0,2,1,0,,0,0,1,1,0,1,0,1,1
142,1,,2,0,0,0,1,0,0,4795.0,0,1,4,0,0,0,0,0,1,0,1,30.0,0,0,1,1,3,1,1,0,1
143,0,27.0,2,0,0,0,1,0,0,3416.0,0,2,3,0,1,0,0,0,2,0,0,27.0,0,0,1,1,3,1,0,0,1
144,0,18.0,2,0,0,1,0,0,0,2462.0,0,2,2,0,1,0,0,0,2,0,0,22.0,0,0,1,1,2,1,0,0,0
145,3,21.0,4,0,0,1,0,0,0,2288.0,0,1,4,0,0,0,0,0,4,0,0,23.0,0,0,1,1,2,1,1,0,1
146,1,48.0,1,0,0,0,0,0,1,3566.0,1,3,4,0,1,0,0,0,2,0,0,30.0,0,0,1,1,2,1,0,0,1
147,0,6.0,4,1,0,0,0,0,0,860.0,0,4,1,0,0,0,0,0,4,0,1,,0,0,1,2,2,1,1,0,1
148,3,,4,1,0,0,0,0,0,,1,3,4,0,0,0,0,0,3,0,0,51.0,0,0,1,2,2,1,1,0,1
149,0,36.0,4,0,0,1,0,0,0,5371.0,0,2,3,0,1,0,0,1,2,0,0,28.0,0,0,1,2,2,1,0,0,1
150,3,18.0,4,0,0,0,1,0,0,-1582.0,3,4,4,0,1,0,0,0,4,0,0,46.0,0,0,1,2,2,1,0,0,1
151,3,6.0,2,0,0,0,1,0,0,1346.0,1,4,2,0,1,0,0,0,4,0,1,42.0,1,0,0,1,2,2,1,0,1
152,3,10.0,2,0,0,0,1,0,0,1924.0,0,2,1,0,1,0,0,0,4,0,0,38.0,0,0,1,1,2,1,1,1,1
153,2,36.0,2,0,0,0,1,0,0,5848.0,0,2,4,0,1,0,0,0,1,0,0,,0,0,1,1,2,1,0,0,1
154,1,24.0,4,0,1,0,0,0,0,7758.0,3,4,2,0,0,0,0,0,4,0,1,29.0,0,1,0,1,2,1,0,0,1
155,1,24.0,3,0,0,0,0,0,1,6967.0,1,3,4,0,1,0,0,0,4,0,0,36.0,0,1,0,1,3,1,1,0,1
156,0,12.0,2,0,0,1,0,0,0,1282.0,0,2,2,0,0,0,0,0,4,0,0,20.0,0,1,0,1,2,1,0,0,0
157,0,9.0,4,0,0,0,0,0,0,1288.0,1,4,3,0,1,0,0,1,4,1,0,48.0,0,0,1,2,2,2,0,1,1
158,0,12.0,1,0,0,0,0,0,0,339.0,0,4,4,0,0,1,0,0,1,0,0,45.0,1,0,1,1,1,1,0,0,1
159,1,24.0,2,1,0,0,0,0,0,3512.0,1,3,2,0,1,0,0,0,3,0,0,38.0,1,0,1,2,2,1,1,0,1
160,3,6.0,4,0,0,0,1,0,0,1898.0,4,2,1,0,1,0,0,0,2,1,0,34.0,0,0,1,2,1,2,0,0,1
161,3,24.0,4,0,0,0,1,0,0,2872.0,1,4,3,0,1,0,0,0,4,1,0,36.0,0,0,1,1,2,2,1,0,1
162,3,18.0,4,1,0,0,0,0,0,1055.0,0,1,4,0,0,0,0,0,1,0,0,30.0,0,0,1,2,2,1,0,0,1
163,3,15.0,2,0,0,0,0,0,0,1262.0,2,3,4,0,1,0,0,0,3,0,0,36.0,0,0,1,2,2,1,1,0,1
164,1,10.0,2,1,0,0,0,0,0,7308.0,0,0,2,0,1,0,0,0,4,0,1,70.0,1,0,0,1,3,1,1,0,1
165,3,36.0,2,1,0,0,0,0,0,909.0,2,4,4,0,1,0,0,0,4,0,0,36.0,0,0,1,1,2,1,0,0,1
166,3,6.0,2,0,0,1,0,0,0,2978.0,2,2,1,0,1,0,0,0,2,0,0,32.0,0,0,1,1,2,1,1,0,1
