OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
167,0,18.0,2,0,0,1,0,0,0,1131.0,0,0,4,0,0,0,0,0,2,0,0,33.0,0,0,1,1,2,1,0,0,0
168,1,11.0,2,0,0,1,0,0,0,1577.0,3,1,4,0,0,0,0,0,1,1,0,20.0,0,0,1,1,2,1,0,0,1
169,3,200.0,2,0,0,1,0,0,0,3972.0,0,3,2,0,0,0,0,0,4,0,0,25.0,0,1,0,1,2,1,1,0,1
170,1,24.0,4,0,0,0,0,0,1,1935.0,0,4,4,1,0,0,0,0,4,1,0,31.0,0,0,1,2,2,1,1,0,0
171,0,15.0,0,1,0,0,0,0,0,950.0,0,4,4,0,1,0,0,0,3,0,0,33.0,0,1,0,2,2,2,0,0,0
172,3,12.0,2,0,0,1,0,0,0,763.0,0,2,4,0,0,0,0,0,1,1,0,26.0,0,0,1,1,2,1,1,0,1
173,1,24.0,3,0,0,1,0,0,0,2064.0,0,0,3,0,0,0,0,0,2,0,0,34.0,0,0,1,1,3,1,1,0,0
174,1,8.0,2,0,0,0,1,0,0,1414.0,0,2,4,0,1,0,0,1,2,1,0,33.0,0,0,1,1,2,1,0,1,1
175,0,21.0,3,0,0,0,0,1,0,3414.0,0,1,2,0,1,0,0,0,1,0,0,26.0,0,0,1,2,2,1,0,0,0
176,3,30.0,1,0,1,0,0,0,0,7485.0,4,0,4,0,0,0,0,0,1,1,0,53.0,1,0,1,1,3,1,1,0,0
177,0,12.0,2,0,0,1,0,0,0,2577.0,0,2,2,1,0,0,0,0,1,0,0,42.0,0,0,1,1,2,1,0,0,1
178,0,6.0,4,0,0,0,1,0,0,338.0,2,4,4,0,1,0,0,0,4,0,0,52.0,0,0,1,2,2,1,0,0,1
179,3,12.0,2,0,0,0,1,0,0,1963.0,0,3,4,0,1,0,0,0,2,0,0,31.0,0,1,0,2,3,2,1,0,1
180,0,21.0,4,1,0,0,0,0,0,571.0,0,4,4,0,1,0,0,0,4,1,0,150.0,0,0,1,2,2,1,0,0,1
181,3,36.0,3,0,0,0,0,0,1,9572.0,0,1,1,1,0,0,0,0,1,0,0,28.0,0,0,1,2,2,1,0,0,0
182,1,36.0,3,0,0,0,0,0,1,4455.0,0,2,2,1,0,0,0,0,2,1,0,30.0,1,0,1,2,3,1,1,0,0
183,0,21.0,1,1,0,0,0,0,0,1647.0,4,2,4,0,1,0,0,0,2,0,0,40.0,0,0,1,2,1,2,0,0,0
184,3,24.0,4,0,0,1,0,0,0,3777.0,3,2,4,0,1,0,0,0,4,1,0,50.0,0,0,1,1,2,1,1,0,1
185,1,18.0,4,1,0,0,0,0,0,884.0,0,4,4,0,1,0,0,0,4,0,0,36.0,1,0,1,1,2,2,1,0,0
186,3,15.0,4,0,0,0,1,0,0,1360.0,0,2,4,0,1,0,0,0,2,0,0,31.0,0,0,1,2,2,1,0,0,1
187,1,9.0,1,0,1,0,0,0,0,5129.0,0,4,2,0,0,0,0,0,4,0,1,74.0,1,0,0,1,3,2,1,0,0
188,1,16.0,4,1,0,0,0,0,0,1175.0,0,0,2,0,1,0,0,0,3,0,0,68.0,0,0,0,3,0,1,1,0,1
189,0,12.0,2,0,0,0,1,0,0,674.0,1,3,4,0,0,1,0,0,1,0,0,20.0,0,0,1,1,2,1,0,0,0
190,1,18.0,0,0,0,1,0,0,0,3244.0,0,2,1,0,0,0,0,0,4,0,0,33.0,1,0,1,2,2,1,1,0,1
191,3,24.0,2,0,0,0,0,0,1,,3,2,2,0,1,0,0,0,3,0,0,54.0,0,0,1,3,3,1,1,0,0
192,1,48.0,0,0,0,0,0,0,1,3844.0,1,3,4,0,1,0,0,0,4,0,1,34.0,0,0,0,1,1,2,0,0,0
193,1,27.0,2,0,0,0,0,0,1,3915.0,0,2,4,0,1,0,0,0,2,0,0,36.0,0,0,1,1,2,2,1,0,0
194,3,6.0,2,0,0,0,1,0,0,2108.0,0,3,2,0,0,1,0,0,2,1,0,29.0,0,1,0,1,2,1,0,0,1
195,1,45.0,2,0,0,0,1,0,0,3031.0,1,2,4,0,1,0,0,1,4,0,0,21.0,0,1,0,1,2,1,0,0,0
196,1,9.0,4,0,0,0,0,1,0,1501.0,0,4,2,0,0,0,0,0,3,0,0,34.0,0,0,1,2,3,1,1,0,0
197,3,6.0,4,0,0,0,1,0,0,1382.0,0,2,1,0,0,0,0,0,1,0,0,28.0,0,0,1,2,2,1,1,0,1
198,1,12.0,2,0,0,1,0,0,0,951.0,1,1,4,0,0,0,0,0,4,0,0,27.0,1,1,0,4,2,1,0,0,0
199,1,24.0,2,0,1,0,0,0,0,2760.0,4,4,4,0,1,0,0,0,4,0,1,36.0,1,0,0,1,2,1,1,0,1
200,1,18.0,3,0,0,1,0,0,0,4297.0,0,4,4,1,0,0,0,0,3,0,1,40.0,0,0,1,1,3,1,1,0,0
201,3,,4,0,0,0,0,1,0,936.0,2,4,4,0,1,0,0,0,2,0,0,52.0,0,0,1,2,2,1,1,0,1
202,0,12.0,2,1,0,0,0,0,0,1168.0,0,2,4,0,0,1,0,0,3,1,0,27.0,0,0,1,1,1,1,0,0,1
203,3,27.0,3,0,0,0,0,0,1,5117.0,0,3,3,0,1,0,0,0,4,0,0,26.0,0,0,1,2,2,1,0,0,1
204,0,12.0,2,0,0,0,0,0,0,902.0,0,3,4,0,0,1,0,0,4,0,0,21.0,0,1,0,1,2,1,0,0,0
205,3,12.0,4,1,0,0,0,0,0,1495.0,0,4,4,0,1,0,0,0,1,1,0,38.0,0,0,1,2,1,2,0,0,1
206,0,30.0,4,0,1,0,0,0,0,10623.0,0,4,3,0,1,0,0,0,4,0,1,38.0,0,0,0,3,3,2,1,0,1
207,3,12.0,4,0,0,1,0,0,0,1935.0,0,4,4,0,1,0,0,0,4,1,0,43.0,0,0,1,3,2,1,1,0,1
208,1,12.0,4,0,0,0,0,0,0,1424.0,0,3,4,0,1,0,0,0,3,0,0,26.0,0,0,1,1,2,1,0,0,1
209,0,24.0,2,0,0,0,0,0,1,6568.0,0,2,2,0,0,1,0,0,2,0,0,21.0,1,0,1,1,1,1,0,0,1
210,3,12.0,2,0,1,0,0,0,0,1413.0,3,3,3,0,1,0,0,0,2,0,0,55.0,0,0,1,1,2,1,0,1,1
211,3,9.0,4,0,0,2,1,0,0,3074.0,4,2,1,0,1,0,0,0,2,1,0,33.0,0,0,1,2,2,2,0,0,1
212,3,36.0,2,0,0,0,1,0,0,3835.0,4,4,2,0,0,0,0,0,4,1,0,45.0,0,0,1,1,1,1,1,0,1
213,0,27.0,0,0,0,0,0,0,1,,0,0,2,0,1,0,0,0,4,0,0,50.0,1,0,1,2,2,1,1,0,0
214,2,30.0,3,0,0,0,0,0,1,1908.0,0,4,4,0,1,0,0,0,4,1,0,66.0,0,0,1,1,3,1,1,0,0
215,3,36.0,4,0,0,0,1,0,0,3342.0,4,4,4,0,1,0,0,0,2,0,0,51.0,0,0,1,1,2,1,1,0,1
216,1,6.0,4,0,0,0,0,0,0,932.0,4,3,1,0,0,0,0,0,3,0,0,39.0,0,0,1,2,1,1,0,0,1
217,0,18.0,0,0,0,0,0,0,1,3104.0,0,3,3,0,1,0,0,0,1,0,0,31.0,1,0,1,1,2,1,1,0,1
218,2,36.0,2,0,0,0,1,0,0,3913.0,0,2,2,0,1,0,0,0,2,1,0,23.0,0,0,1,1,2,1,1,0,1
219,0,24.0,2,0,0,1,0,0,0,3021.0,0,2,2,1,0,0,0,0,2,1,0,24.0,0,1,0,1,1,1,0,0,1
220,3,10.0,2,1,0,0,0,0,0,1364.0,0,2,2,0,0,0,0,0,4,0,0,64.0,0,0,1,1,2,1,1,0,1
221,1,12.0,2,0,0,0,1,0,0,625.0,0,1,4,0,0,1,0,1,1,1,0,26.0,1,0,1,1,1,1,0,0,1
222,0,12.0,2,0,0,0,0,1,0,1200.0,4,2,4,0,0,0,0,0,4,0,0,23.0,1,1,0,1,2,1,1,0,1
223,3,12.0,2,0,0,0,1,0,0,,0,2,4,0,1,0,0,0,2,1,0,30.0,1,0,1,2,2,1,0,0,1
224,3,24.0,3,0,0,0,0,0,1,2978.0,4,2,4,0,1,0,0,0,4,1,0,32.0,0,0,1,2,2,2,1,0,1
225,3,15.0,2,0,1,0,0,0,0,4657.0,0,2,3,0,1,0,0,0,2,0,0,30.0,0,0,1,1,2,1,1,0,1
226,3,36.0,0,0,0,0,0,0,0,2613.0,0,2,4,0,1,0,0,0,2,0,0,27.0,0,0,1,2,2,1,0,0,1
227,1,48.0,2,0,0,0,1,0,0,10961.0,3,3,1,0,1,0,1,0,2,0,1,27.0,1,0,1,2,2,1,1,0,0
228,0,12.0,2,0,0,1,0,0,0,7865.0,0,4,4,0,1,0,0,0,4,0,1,53.0,0,0,0,1,3,1,1,0,0
229,3,9.0,2,0,0,0,1,0,0,1478.0,0,3,4,0,1,0,0,0,2,0,0,22.0,0,0,1,1,2,1,0,0,0
230,0,24.0,2,0,0,1,0,0,0,3149.0,0,1,4,0,1,0,0,0,1,0,1,22.0,1,0,0,1,2,1,0,0,1
231,2,36.0,2,0,0,0,1,0,0,4210.0,0,2,4,0,1,0,0,0,2,0,0,26.0,0,0,1,1,2,1,0,0,0
232,3,9.0,2,1,0,0,0,0,0,2507.0,2,4,2,0,1,0,0,0,4,0,1,51.0,0,0,0,1,1,1,0,0,1
233,3,12.0,2,0,0,0,1,0,0,2141.0,1,3,3,0,1,0,0,0,1,0,1,35.0,0,0,1,1,2,1,0,0,1
234,1,18.0,2,0,0,0,1,0,0,866.0,0,2,4,0,0,1,0,1,2,1,0,25.0,0,0,1,1,1,1,0,0,1
235,3,4.0,4,0,0,0,1,0,0,1544.0,0,3,2,0,1,0,0,0,1,1,0,42.0,0,0,1,3,1,2,0,0,1
236,0,24.0,2,0,0,0,1,0,0,1823.0,0,0,4,0,1,0,0,0,2,0,0,30.0,1,0,1,1,3,2,0,0,0
237,1,6.0,2,1,0,0,0,0,0,14555.0,4,0,1,0,1,0,0,0,2,0,0,23.0,0,0,1,1,0,1,1,0,0
238,1,21.0,2,0,0,0,0,0,1,2767.0,1,4,4,1,0,0,0,0,2,0,0,61.0,1,1,0,2,1,1,0,0,0
239,3,12.0,4,0,0,0,1,0,0,1291.0,0,2,4,0,0,0,0,0,2,0,0,35.0,0,0,1,2,2,1,0,0,1
240,0,30.0,2,0,0,0,1,0,0,,0,4,1,0,1,0,0,1,3,0,0,39.0,0,0,1,1,2,2,0,0,1
241,0,24.0,2,1,0,0,0,0,0,915.0,4,4,4,0,0,0,0,0,2,0,0,29.0,1,0,1,1,2,1,0,0,0
242,3,6.0,2,0,0,0,1,0,0,1595.0,0,3,3,0,1,0,0,0,2,0,0,51.0,0,0,1,1,2,2,0,0,1
243,0,48.0,0,0,1,0,0,0,0,4605.0,0,4,3,0,1,0,0,0,4,0,1,24.0,0,0,0,2,2,2,0,0,0
244,3,12.0,4,0,0,0,0,0,1,1185.0,0,2,3,0,0,0,0,0,2,1,0,27.0,0,0,1,2,2,1,0,0,1
245,3,12.0,1,0,0,0,0,0,0,3447.0,2,2,4,0,0,0,0,0,3,1,0,35.0,0,0,1,1,1,2,0,0,1
246,3,24.0,2,0,0,0,0,0,1,1258.0,0,3,4,0,1,0,0,0,1,1,0,25.0,0,0,1,1,2,1,1,0,1
247,3,12.0,4,0,0,0,1,0,0,717.0,0,4,4,0,1,0,0,0,4,1,0,52.0,0,0,1,3,2,1,0,0,1
248,3,,0,1,0,0,0,0,0,1204.0,1,2,4,0,1,0,0,0,1,0,1,35.0,1,1,0,1,2,1,0,1,1
249,2,24.0,2,0,0,1,0,0,0,1925.0,0,2,2,0,1,0,0,0,2,1,0,,0,0,1,1,2,1,0,0,1
250,3,18.0,2,0,0,0,1,0,0,433.0,0,0,3,0,0,0,1,0,4,1,0,22.0,0,1,0,1,2,1,0,0,0
251,0,6.0,4,1,0,0,0,0,0,666.0,3,3,3,0,0,0,0,0,4,1,0,39.0,0,0,1,2,1,1,1,0,1
252,2,12.0,2,0,0,1,0,0,0,2251.0,0,2,1,0,0,0,0,0,2,0,0,46.0,0,0,1,1,1,1,0,0,1
253,1,30.0,2,1,0,0,0,0,0,2150.0,0,2,4,0,0,0,0,1,2,0,1,24.0,1,0,1,1,2,1,0,0,0
254,3,24.0,3,0,0,1,0,0,0,4151.0,1,2,2,0,1,0,0,0,3,0,0,35.0,0,0,1,2,2,1,0,0,1
255,1,,2,0,0,1,0,0,0,2030.0,4,3,2,0,1,0,0,0,1,0,0,24.0,0,0,1,1,2,1,1,0,1
256,1,60.0,3,0,0,0,1,0,0,7418.0,4,2,1,0,1,0,0,0,1,1,0,27.0,0,0,1,1,1,1,0,0,1
257,3,24.0,4,0,0,0,1,0,0,2684.0,0,2,4,0,1,0,0,0,2,1,0,35.0,0,0,1,2,1,1,0,0,1
258,0,12.0,1,0,0,0,1,0,0,2149.0,0,2,4,1,0,0,0,0,1,0,1,29.0,0,0,0,1,2,1,0,0,0
259,3,15.0,2,0,1,0,0,0,0,3812.0,1,1,1,0,0,0,0,0,4,0,0,23.0,0,0,1,1,2,1,1,0,1
260,3,11.0,4,0,0,0,1,0,0,1154.0,1,0,4,0,0,0,0,0,4,1,0,57.0,0,0,1,3,1,1,0,0,1
261,0,12.0,2,0,0,1,0,0,0,1657.0,0,2,2,0,1,0,0,0,2,1,0,27.0,0,0,1,1,2,1,0,0,1
262,0,24.0,2,0,0,0,1,0,0,1603.0,0,4,4,0,0,0,0,0,4,0,0,55.0,0,0,1,1,2,1,0,0,1
263,0,18.0,4,1,0,0,0,0,0,5302.0,0,4,2,0,1,0,0,0,4,0,1,36.0,0,0,0,3,3,1,1,0,1
264,3,12.0,4,0,0,0,0,1,0,2748.0,0,4,2,0,0,0,0,0,4,0,1,57.0,1,0,0,3,1,1,0,0,1
265,3,10.0,4,1,0,0,0,0,0,1231.0,0,4,3,0,1,0,0,0,4,1,0,32.0,0,0,1,2,1,2,0,1,1
266,1,15.0,2,0,0,0,1,0,0,802.0,0,4,4,0,1,0,0,0,3,0,0,37.0,0,0,1,1,2,2,0,0,0
267,3,36.0,4,0,0,0,0,0,1,6304.0,4,4,4,0,1,0,0,0,4,1,0,36.0,0,0,1,2,2,1,0,0,1
268,3,24.0,2,0,0,0,1,0,0,1533.0,0,1,4,0,0,0,0,0,3,0,0,38.0,1,0,1,1,2,1,1,0,1
269,0,,2,1,0,0,0,0,0,8978.0,0,4,1,1,0,0,0,0,4,0,0,45.0,0,0,1,1,3,1,1,1,0
270,3,24.0,2,0,0,0,1,0,0,999.0,4,4,4,0,1,0,0,0,2,0,0,25.0,0,0,1,2,2,1,0,0,1
271,3,18.0,2,1,0,0,0,0,0,2662.0,4,3,4,0,1,0,0,0,3,0,0,32.0,0,0,1,1,2,1,0,1,1
272,3,12.0,4,0,0,1,0,0,0,1402.0,2,3,3,0,0,0,0,0,4,0,0,37.0,0,1,0,1,2,1,1,0,1
273,1,48.0,1,1,0,0,0,0,0,12169.0,4,0,4,0,1,0,1,0,4,0,1,36.0,0,0,0,1,3,1,1,0,1
274,1,48.0,2,0,0,0,1,0,0,3060.0,0,3,4,0,1,0,0,0,4,1,0,28.0,0,0,1,2,2,1,0,0,0
275,0,30.0,2,0,0,0,0,0,0,11998.0,0,1,1,1,0,0,0,0,1,0,1,34.0,0,0,1,1,1,1,1,0,0
276,3,9.0,2,0,0,0,1,0,0,2697.0,0,2,1,0,1,0,0,0,2,1,0,32.0,0,0,1,1,2,2,0,0,1
277,3,18.0,4,0,0,0,1,0,0,2404.0,0,2,2,0,0,0,0,0,2,0,0,26.0,0,0,1,2,2,1,0,0,1
278,0,12.0,2,0,0,1,0,0,0,1262.0,4,4,2,1,0,0,0,0,4,0,0,49.0,0,0,1,1,1,1,1,0,1
279,3,6.0,2,0,0,1,0,0,0,4611.0,0,1,1,0,0,0,0,0,4,0,0,32.0,0,0,1,1,2,1,0,0,0
280,3,24.0,2,0,0,0,1,0,0,1901.0,1,2,4,0,1,0,0,0,4,0,0,29.0,0,1,0,1,3,1,1,0,1
281,3,15.0,4,0,1,0,0,0,0,3368.0,3,4,3,0,1,0,0,0,4,0,1,23.0,0,1,0,2,2,1,1,0,1
282,3,12.0,2,0,0,1,0,0,0,1574.0,0,2,4,0,1,0,0,0,2,1,0,50.0,0,0,1,1,2,1,0,0,1
283,2,18.0,1,0,0,0,1,0,0,1445.0,4,3,4,0,1,0,0,0,4,0,0,49.0,1,0,1,1,1,1,0,0,1
284,3,15.0,4,0,0,1,0,0,0,,4,4,4,0,1,0,0,0,4,0,0,63.0,0,0,1,1,2,1,0,0,1
285,1,24.0,4,1,0,0,0,0,0,3878.0,1,1,4,1,0,0,0,0,2,0,0,37.0,0,0,1,1,2,1,1,0,1
286,0,47.0,2,1,0,0,0,0,0,10722.0,0,1,1,0,0,0,0,0,1,1,0,35.0,0,0,1,1,1,1,1,0,1
287,0,48.0,2,0,1,0,0,0,0,4788.0,0,3,4,0,1,0,0,0,3,0,0,26.0,0,0,1,1,2,2,0,0,1
288,1,48.0,3,0,0,0,0,0,0,7582.0,1,0,2,0,1,0,0,0,4,0,1,31.0,0,0,0,1,3,1,1,0,1
289,1,12.0,2,0,0,0,1,0,0,1092.0,0,2,4,0,0,0,0,1,4,1,0,49.0,0,0,1,2,2,1,1,0,1
290,0,24.0,3,0,0,0,1,0,0,1024.0,0,1,4,0,0,1,0,0,4,1,0,48.0,1,0,1,1,2,1,0,0,0
291,3,12.0,2,0,0,0,0,0,1,1076.0,0,2,2,0,0,1,0,0,2,1,0,26.0,0,0,1,1,2,1,1,1,1
292,1,36.0,2,0,1,0,0,0,0,9398.0,0,1,1,0,0,1,0,0,4,0,0,28.0,0,1,0,1,3,1,1,0,0
293,0,24.0,4,0,1,0,0,0,0,6419.0,0,4,2,0,0,0,0,0,4,0,1,44.0,0,0,0,2,3,2,1,0,1
294,2,42.0,4,0,1,0,0,0,0,4796.0,0,4,4,0,1,0,0,0,4,0,1,56.0,0,0,0,1,2,1,0,0,1
295,3,48.0,4,0,0,0,0,0,1,7629.0,4,4,4,1,0,0,0,0,2,0,0,46.0,1,0,1,2,3,2,0,0,1
296,1,48.0,2,0,0,1,0,0,0,9960.0,0,1,1,0,0,0,0,0,2,0,0,26.0,0,0,1,1,2,1,1,0,0
297,3,12.0,2,0,1,0,0,0,0,4675.0,4,1,1,0,0,0,0,0,4,0,0,20.0,0,1,0,1,2,1,0,0,1
298,3,10.0,2,1,0,0,0,0,0,1287.0,4,4,4,0,1,0,1,0,2,0,0,45.0,0,0,1,1,1,1,0,1,1
299,3,18.0,2,0,0,1,0,0,0,2515.0,0,2,3,0,1,0,0,0,4,1,0,43.0,0,0,1,1,2,1,1,0,1
300,1,21.0,4,0,0,1,0,0,0,2745.0,3,3,3,0,1,0,0,0,2,0,0,32.0,0,0,1,2,2,1,1,0,1
301,3,6.0,2,1,0,0,0,0,0,672.0,0,0,1,0,0,0,0,0,4,1,0,54.0,0,0,1,1,0,1,1,0,1
302,1,36.0,0,0,0,0,1,0,0,3804.0,0,2,4,0,0,0,0,0,1,0,0,42.0,0,0,1,1,2,1,1,0,0
303,2,24.0,4,1,0,0,0,0,0,1344.0,4,3,4,0,1,0,0,0,2,1,0,37.0,1,0,1,2,1,2,0,0,0
304,0,10.0,4,1,0,0,0,0,0,1038.0,0,3,4,0,1,0,1,0,3,0,0,49.0,0,0,1,2,2,1,1,0,1
305,3,48.0,4,1,0,0,0,0,0,,2,2,2,0,1,0,0,0,2,0,1,44.0,1,0,0,1,2,1,0,0,0
306,3,6.0,2,0,0,1,0,0,0,1543.0,3,2,4,1,0,0,0,0,2,1,0,33.0,0,0,1,1,2,1,0,0,1
307,3,30.0,2,0,1,0,0,0,0,4811.0,4,3,2,0,0,0,0,0,4,0,0,24.0,1,1,0,1,1,1,0,0,1
308,0,12.0,2,0,0,0,1,0,0,727.0,1,1,4,0,0,1,0,0,3,0,1,33.0,0,0,1,1,1,1,1,0,0
309,1,8.0,2,0,0,1,0,0,0,1237.0,0,2,3,0,0,0,0,0,4,1,0,24.0,0,0,1,1,2,1,0,0,0
310,1,9.0,2,1,0,0,0,0,0,276.0,0,2,4,0,0,1,0,0,4,1,0,22.0,0,1,0,1,1,1,0,0,1
311,1,48.0,2,0,0,0,0,0,0,5381.0,4,0,3,0,1,0,0,0,4,0,1,40.0,1,0,0,1,0,1,1,0,1
312,3,24.0,2,0,0,1,0,0,0,5511.0,1,2,4,0,1,0,0,0,1,0,0,25.0,1,0,1,1,2,1,0,0,1
313,2,24.0,2,0,0,1,0,0,0,3749.0,0,1,2,0,0,0,0,0,4,0,0,26.0,0,0,1,1,2,1,0,0,1
314,1,12.0,2,1,0,0,0,0,0,685.0,0,3,2,0,0,1,0,0,3,0,0,25.0,1,0,1,1,1,1,0,0,0
315,2,4.0,2,1,0,0,0,0,0,1494.0,4,1,1,0,1,0,0,0,2,1,0,29.0,0,0,1,1,1,2,0,1,1
316,0,36.0,1,0,0,1,0,0,0,2746.0,0,4,4,0,1,0,0,0,4,0,0,31.0,1,0,1,1,2,1,0,0,0
317,0,12.0,2,0,0,1,0,0,0,708.0,0,2,2,0,1,0,0,1,3,0,0,38.0,0,0,1,1,1,2,0,0,1
318,1,24.0,2,0,0,1,0,0,0,4351.0,4,2,1,0,0,0,0,0,4,0,0,48.0,0,0,1,1,1,1,1,0,1
319,3,12.0,4,0,0,0,0,1,0,701.0,0,2,4,0,1,0,0,0,2,0,0,32.0,0,0,1,2,2,1,0,0,1
320,0,15.0,3,0,0,1,0,0,0,-3643.0,0,4,1,0,0,0,0,0,4,0,0,27.0,0,0,1,2,1,1,0,0,1
321,1,30.0,4,1,0,0,0,0,0,4249.0,0,0,4,0,0,1,0,0,2,0,0,28.0,0,0,1,2,3,1,0,0,0
322,0,24.0,2,0,0,0,1,0,0,1938.0,0,1,4,1,0,0,0,0,3,0,0,32.0,0,0,1,1,2,1,0,0,0
323,0,24.0,2,0,1,0,0,0,0,2910.0,0,3,2,0,1,0,0,0,1,0,1,34.0,0,0,0,1,3,1,1,0,1
324,0,18.0,2,0,0,1,0,0,0,2659.0,3,2,4,0,1,0,0,0,2,0,0,28.0,0,0,1,1,2,1,0,0,1
325,3,18.0,4,1,0,0,0,0,0,1028.0,0,2,4,0,0,0,0,0,3,1,0,36.0,0,0,1,2,2,1,0,0,1
326,0,8.0,4,1,0,0,0,0,0,3398.0,0,3,1,0,1,0,0,0,4,1,0,39.0,0,0,1,2,1,1,0,1,1
327,3,12.0,4,0,0,1,0,0,0,5801.0,4,4,2,0,1,0,0,0,4,0,0,49.0,0,1,0,1,2,1,1,0,1
328,3,24.0,2,1,0,0,0,0,0,1525.0,3,3,4,0,0,0,0,0,3,0,0,34.0,0,0,1,1,2,2,1,0,1
329,2,36.0,2,0,0,0,1,0,0,4473.0,0,4,4,0,1,0,0,0,2,0,0,31.0,0,0,1,1,2,1,0,0,1
330,1,6.0,2,0,0,0,1,0,0,,0,4,4,0,1,0,0,0,4,0,0,28.0,0,0,1,1,2,2,0,0,1
331,0,24.0,4,0,1,0,0,0,0,6615.0,0,0,2,0,1,0,0,0,4,0,1,75.0,0,0,0,2,3,1,1,0,1
332,3,18.0,4,0,0,0,0,1,0,1864.0,1,2,4,0,0,0,0,0,2,1,0,30.0,0,0,1,2,2,1,0,0,0
333,1,60.0,2,1,0,0,0,0,0,7408.0,1,1,4,0,0,0,0,0,2,0,0,24.0,0,0,1,1,3,1,0,0,0
334,3,48.0,4,0,1,0,0,0,0,11590.0,1,2,2,0,0,0,0,0,4,0,0,24.0,1,1,0,2,1,1,0,0,0
335,0,24.0,0,0,0,1,0,0,0,4110.0,0,4,3,0,1,0,0,0,4,0,1,23.0,1,1,0,2,2,2,0,0,0
